What,Where,When,How_Much
Here Lies Man (US).,"Global Copenhagen, NÃ¸rre AllÃ© 7, Copenhagen N","Sat 24 February 2018, 9 pm.",(Entrance fee: 135 DKK)

Ã…h Abe - BÃ¸rne Jazzkoncert.,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Sun 25 February 2018, 1 pm.",(Entrance fee: 55 DKK)

Kastelskirkens SÃ¸ndagskoncerter.,"Kastelskirken, Kastellet 50, Copenhagen Ã˜","Sun 25 February 2018, 2 pm.",(Free admission)

Koncert i SolgÃ¥rdens CafÃ©.,"SolgÃ¥rden plejehjem, Virumvej 125, Virum","Sun 25 February 2018, 2.30 pm.",(Free admission)

PrÃ¦dikerens Bog og Skibsforlis for stemme og orgel.,"Vor Frelsers Kirke, Sankt AnnÃ¦ Gade 29, Copenhagen K","Sun 25 February 2018, 3 pm.",(Free admission)


"""Cohen i kirken"".","HÃ¸jdevangskirken, Irlandsvej 45, Copenhagen S","Sun 25 February 2018, 4 pm  - 5 pm.", 

PalÃ¦ Bar Jazz.,"PalÃ¦ Bar, Ny Adelgade 5, Copenhagen K","Sun 25 February 2018, 5 pm  - 8 pm.", 

Halfdanskerne.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Sun 25 February 2018, 7.30 pm  - 9.30 pm.",(Entrance fee: 120kr. + gebyr i forsalg - 140kr. i dÃ¸ren)

The Killers.,"Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S","Sun 25 February 2018, 8 pm.","(Entrance fee: 480,00 dkk - 650,00 dkk)"

Superorganism (UK/US).,"VEGA, Enghavevej 40, Copenhagen V","Sun 25 February 2018, 8 pm.","(Entrance fee: 135,00 DKK)"

Mestre pÃ¥ Mandage - Gert Mortensens 60-Ã¥rs fÃ¸dselsdagskoncert.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Mon 26 February 2018, 7.30 pm.",(Free admission)

Rag'n'Bone Man: Grande Reserve Tour.,"Forum Copenhagen, Julius Thomsens Plads 1, Frederiksberg C","Mon 26 February 2018, 8 pm.","(Entrance fee: 325,00 DKK)"

PartyNextDoor - Infinity Tour.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Mon 26 February 2018, 9 pm.",(Entrance fee: 370 - 891 DKK)

FolkemusikfÃ¦llesskaber og -institutioner i 1970'erne og 2010'erne v. Lene Halskov Hansen.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Tues 27 February 2018, 7.30 pm.",(Free admission)

Russ - There's Really A Wolf In Europe Tour.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Tues 27 February 2018, 9 pm.",(Entrance fee: 275 - 1545 DKK)

Lhuma (50/50 koncert).,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Wed 28 February 2018, 7.30 pm.",(Entrance fee: 55 DKK)

Debutkoncert - James Black.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Wed 28 February 2018, 7.30 pm.",(Free admission)

Carl Emil solo.,"Klauzdal, Klausdalsbrovej 336, Herlev","Wed 28 February 2018, 8 pm.",(Entrance fee: 160 DKK)

Sankt Petersborg Musikaften.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Wed 28 February 2018, 8.00 pm  - 10.00 pm.",(Entrance fee: 150kr/ 120 DKK mdl. ved dÃ¸ren)

Charlie Parr (us).,"Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K","Wed 28 February 2018, 9.30 pm.",(Free admission)

Koncert med BersÃ¦rk.,"KU.BE, Dirch Passers AllÃ© 4, Frederiksberg","Thur 1 March 2018, 7 pm.",(Free admission)

"ALL SWING &amp; BOSSA, Ole Schmidt, tenorsax og JÃ¸rgen Schaarup, guitar.","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K","Thur 1 March 2018, 7 pm  - 9 pm.", 

Luisi &amp; Beethovens 5.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 1 March 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)

Kim Larsen &amp; Kjukken (DK) - Ekstra koncert - UDSOLGT.,"VEGA, Enghavevej 40, Copenhagen V","Thur 1 March 2018, 8 pm.","(Entrance fee: 375,00 DKK)"

Kendrick Lamar - The Damn. Tour - Udsolgt/venteliste.,"Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S","Thur 1 March 2018, 8 pm.","(Entrance fee: 425,00 dkk - 755,00 dkk)"


"Profanatica, Auroch, Rites Of Thy Degringolade @ Loppen.","Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K","Thur 1 March 2018, 8.30 pm.",(Entrance fee: 99 DKK)

Chimbos Revival.,"Drop Inn, KompagnistrÃ¦de 34, Copenhagen K","Thur 1 March 2018, 9 pm.", 

Jethro Tull by Ian Andersen.,"Docken KÃ¸benhavn, Nordhavnen, FÃ¦rgehavnsvej 35, Nordhavn","Fri 2 March 2018, 7 pm.","(Entrance fee: 495,00 dkk - 1500,00 dkk)"

Sko/torp.,"Skovshoved Hotel, Strandvejen 267, Charlottenlund","Fri 2 March 2018, 7 pm.","(Entrance fee: 820,00 DKK)"

Jazz Band Ball med South Coast Stompers.,"Foreningshuset, HÃ¸jnÃ¦svej 63, RÃ¸dovre","Fri 2 March 2018, 7 pm.","(Entrance fee: Kr. 60,-)"

Luisi &amp; Beethovens 5.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 2 March 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)

Pink Floyd Project - 50 Years of Floyd.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Fri 2 March 2018, 8 pm.",(Entrance fee: 285 KR. + Gebyr)

Thomas Helmig + Support.,"Ballerup Super Arena, Ballerup IdrÃ¦tsby 4, Ballerup","Fri 2 March 2018, 8 pm.",(Entrance fee: 375 DKK)

Sonja Hald.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Fri 2 March 2018, 8 pm.","(Entrance fee: 140,00 DKK)"

Lis SÃ¸rensen.,"Det Kongelige Teater - Gamle Scene, Kongens Nytorv, Copenhagen K","Fri 2 March 2018, 8 pm.","(Entrance fee: 300,00 dkk - 500,00 dkk)"

Rasmus Lyberth.,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Fri 2 March 2018, 8 pm.",(Entrance fee: 175 DKK)

Kim Larsen &amp; Kjukken (dk) - Udsolgt.,"VEGA, Enghavevej 40, Copenhagen V","Fri 2 March 2018, 8 pm.","(Entrance fee: 375,00 DKK)"

Binkbeats (NL).,"VEGA, Enghavevej 40, Copenhagen V","Fri 2 March 2018, 8 pm.","(Entrance fee: 165,00 DKK)"

Cindy Wilson (US).,"Hotel Cecil, Niels Hemmingsens Gade 10, Copenhagen K","Fri 2 March 2018, 8 pm.","(Entrance fee: 250,00 DKK)"

Six City Stompers Med Mads Mathias.,"EllegÃ¥rden, Stavnsholtvej 168, Farum","Fri 2 March 2018, 9 pm.","(Entrance fee: Entre billet 125 DKK, Entre + Jazzmenu 275 DKK)"

Lisztige Rapsodier.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Sat 3 March 2018, 4 pm.","(Entrance fee: 100 for voksne, gratis for bÃ¸rn under 18 Ã¥r)"

Monk Parker (US).,"Ideal Bar, Enghavevej 40, Copenhagen V","Sat 3 March 2018, 8 pm.","(Entrance fee: 145,00 DKK)"

Kellermensch.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 3 March 2018, 8 pm.",(Entrance fee: 195 - 245 DKK)

Piano Battle 2018.,"Baghuset, Sct. Jacobsvej 1, Ballerup","Sat 3 March 2018, 8 pm.",(Entrance fee: 80 DKK.)

The script.,"TAP1, Raffinaderivej 10, Copenhagen S","Sat 3 March 2018, 8 pm.","(Entrance fee: 350,00 dkk - 720,00 dkk)"


JazzaBrasil.,"Christianshavns Beboerhus, Dronningensgade 34, Copenhagen K","Sat 25 November 2017, 3 pm.",(Entrance fee: 50 DKK)

"Koncert med John Kruse, Kim Bak Dinitzen og Elisabeth Westenholz.","Christians Kirke, Strandgade 1, Copenhagen K","Sat 25 November 2017, 3 pm  - 4 pm.", 

VelgÃ¸renhedskoncert ved Tommy Wedel/Knud Rasmussen.,"Sorgenfri Kirke og SognegÃ¥rd, Hummeltoften 1, Virum","Sat 25 November 2017, 3 pm  - 8 pm.", 

Julekoncert med SÃ¸s Fenger.,"Operaen, Ekvipagemestervej 10, Copenhagen K","Sat 25 November 2017, 4 pm.",(Entrance fee: LÃ¸ssalg: 290 DKK)

Musik for alle - spillet af bÃ¸rn.,"Hendriksholm Kirke, Damhus Boulevard 70, RÃ¸dovre","Sat 25 November 2017, 4 pm  - 5 pm.", 

Koncert og foredrag.,"Filips Kirke, Kastrupvej 57, Copenhagen S","Sat 25 November 2017, 4.00 pm.",(Free admission)

Single Rocks store Julefest med band.,"CafÃ© Ae, Frederikssundsvej 7, Copenhagen NV","Sat 25 November 2017, 6 pm.",(Entrance fee: EntrÃ© og spisning 325 DKK)

KettleMetal.,"MusikhÃ¸jskolen, Smallegade 12, Frederiksberg","Sat 25 November 2017, 6 pm  - 3 am.",(Entrance fee: 99 i forsalg / 120 i dÃ¸ren)

Kreshme Ensemble.,"Kulturhuset BrÃ¸nden, BrÃ¸ndby Strand Centrum 60, BrÃ¸ndby Strand","Sat 25 November 2017, 7 pm.",(Entrance fee: Billetter 150 DKK)

Syngesalon med saxofonist Hans Ulrik.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Sat 25 November 2017, 7 pm.",(Entrance fee: 150)

Adventskoncert med Gospel Unusual.,"BellahÃ¸j og Utterslev kirker, Kirkekontor: Frederikssundsvej 125 A, BrÃ¸nshÃ¸j","Sat 25 November 2017, 7 pm  - 8.30 pm.", 

Savage Rose.,"VEGA, Enghavevej 40, Copenhagen V","Sat 25 November 2017, 8 pm.",(Entrance fee: 320 DKK)

The War On Drugs (us).,"TAP1, Raffinaderivej 10, Copenhagen S","Sat 25 November 2017, 8 pm.",(Entrance fee: 450 DKK)

The Minds Of 99.,"Den GrÃ¥ Hal, Christiania, Refshalevej 2, Copenhagen K","Sat 25 November 2017, 8 pm.", 

Vinbar med tapas og live musik.,"Cafe Delight ApS, Borups Alle 112, Frederiksberg","Sat 25 November 2017, 8 pm.",(Free admission)

Frede Fup.,"Kulturhuset Kilden, NygÃ¥rds Plads 31, BrÃ¸ndby","Sat 25 November 2017, 8 pm.",(Entrance fee: Billetter 100 DKK)

"Sangbar Ã†,Ã˜&Ã… - November.","Christianshavns Beboerhus, Dronningensgade 34, Copenhagen K","Sat 25 November 2017, 8 pm.","(Entrance fee: 30,-)"

Mozzik.,"Baltoppen Live, Baltorpvej 20, Ballerup","Sat 25 November 2017, 8 pm.",(Entrance fee: 150 DKK + evt. gebyr)

Pernille BÃ©vort: Radio BÃ©vort.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Sat 25 November 2017, 8 pm.",(Entrance fee: 285 DKK + evt. gebyr)

Scandinavian Pink Floyd Project - FÃ¥ billetter!,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Sat 25 November 2017, 8 pm.","(Entrance fee: 295,00 DKK)"


Steven Wilson (uk) - FÃ¥ Billetter.,"VEGA, Enghavevej 40, Copenhagen V","Sat 3 March 2018, 8 pm.","(Entrance fee: 350,00 DKK)"

Pink Floyd Project - Wish You Were Here Tour.,"Den GrÃ¥ Hal, Christiania, Refshalevej 2, Copenhagen K","Sat 3 March 2018, 9 pm.","(Entrance fee: 295,00 DKK)"

Baby In Vain (DK).,"VEGA, Enghavevej 40, Copenhagen V","Sat 3 March 2018, 9 pm.","(Entrance fee: 165,00 DKK)"

Kajsa Vala - MusikcafÃ©en.,"Huset KBH MusikcafÃ©en, RÃ¥dhusstrÃ¦de 13, 3. sal, Copenhagen K","Sat 3 March 2018, 9 pm.",(Entrance fee)

Sebastian Klein.,"Galaksen, Bymidten 48, VÃ¦rlÃ¸se","Sun 4 March 2018, 11 am.",(Entrance fee: 165 DKK)

Jacob Fischers Kvartet.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Sun 4 March 2018, 12 am.", 

"Arild Kvartetten spiller Beethoven, LvB#2.","Det Kongelige Teater - Gamle Scene, Kongens Nytorv, Copenhagen K","Sun 4 March 2018, 12 am.",(Entrance fee: 200 DKK)

SÃ¸ndagsbal med RÃ¸dovre Palmehaveorkester.,"RÃ¸dovregaard, Kirkesvinget 1, RÃ¸dovre","Sun 4 March 2018, 2 pm  - 5 pm.",(Entrance fee: 50 DKK.)

Cool Sweetness Sextet.,"SofiekÃ¦lderen, Overgaden Oven Vandet 32, Copenhagen K","Sun 4 March 2018, 3 pm.","(Entrance fee: 100,-/70,-)"

Koncert med Studentersangerne.,"Hans Egedes Kirke, Vardegade 14, Copenhagen Ã˜","Sun 4 March 2018, 3 pm  - 4 pm.", 

Unge spiller klassisk - intim koncert.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Sun 4 March 2018, 3 pm  - 4 pm.","(Entrance fee: 50,00 DKK i DÃ¸ren)"

Koncert med OBG-Brass.,"Christianskirken, Christian X's AllÃ© 122, Kongens Lyngby","Sun 4 March 2018, 3 pm  - 4.30 pm.", 

Koncert med Lee Trio (NÃ¸debo Kultur).,"Sorgenfri Kirke og SognegÃ¥rd, Hummeltoften 1, Virum","Mon 5 March 2018, 7.30 pm  - 11.45 pm.", 

The Steve Rothery Band.,"Teatermuseet i Hofteatret, Christiansborg Ridebane 18, Copenhagen K","Mon 5 March 2018, 8 pm.","(Entrance fee: 420,00 dkk - 520,00 dkk)"

Kulturaften med MusikhÃ¸jskolen.,"Frederiksberg Hovedbibliotek, Falkoner Plads 3, Frederiksberg","Tues 6 March 2018, 5 pm  - 7 pm.",(Free admission)

Gnoss.,"Baltoppen Live, Baltorpvej 20, Ballerup","Tues 6 March 2018, 7.30 pm.",(Entrance fee: 140 DKK + evt. gebyr)

Moderne dansk aften.,"Unitarernes Hus, Dag HammarskjÃ¶lds AllÃ© 30, Copenhagen Ã˜","Tues 6 March 2018, 7.30 pm.",(Entrance fee: 90 - 150 DKK)

Orgelkoncert: Martin Norddahl.,"Sct. Thomas kirke, Rolighedsvej 16, Frederiksberg C","Tues 6 March 2018, 7.30 pm.",(Free admission)

All Tvvins (IE).,"Ideal Bar, Enghavevej 40, Copenhagen V","Tues 6 March 2018, 8 pm.",(Entrance fee)

Jam-session pÃ¥ Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 7 March 2018, 6 pm.",(Free admission)


Bo Evers (50/50 koncert).,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Wed 7 March 2018, 7.30 pm.",(Entrance fee: 55 DKK)

Joan Baez - Fare Thee Well.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Wed 7 March 2018, 8 pm.",(Entrance fee: 320 - 670 DKK)

Ankerstjerne (DK).,"VEGA, Enghavevej 40, Copenhagen V","Wed 7 March 2018, 9 pm.","(Entrance fee: 175,00 DKK)"

"Anne dorte michelsen - solo ""jeg vil huske"".","Restaurant Beghuset, Strandgade 14, DragÃ¸r","Thur 8 March 2018, 6 pm.","(Entrance fee: Kr 418,- inklusiv)"

Svend Emmes egne viser og en aften om kÃ¦rlighed.,"Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, SÃ¸borg","Thur 8 March 2018, 7.30 pm  - 10 pm.",(Entrance fee: Medlemmer gratis gÃ¦ster 50 DKK.)

King Gizzard &amp; The Lizard Wizard (aus).,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Thur 8 March 2018, 9 pm.", 

The Attic Sleepers.,"Huset - KBH, RÃ¥dhusstrÃ¦de 13, Copenhagen K","Thur 8 March 2018, 9 pm.","(Entrance fee: 140,00 DKK)"

Erasure.,"Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S","Fri 9 March 2018, 8 pm.","(Entrance fee: 450,00 dkk - 480,00 dkk)"

Alberte Winding Band.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Fri 9 March 2018, 8 pm.",(Entrance fee)

"Jes HoltsÃ¸, Tobias Trier & Morten Wittrock.","Kulturhuset PilegÃ¥rden, BrÃ¸nshÃ¸jvej 17, BrÃ¸nshÃ¸j","Fri 9 March 2018, 8 pm  - 10 pm.",(Entrance fee: 120 DKK)

Marvelous Mosell.,"VEGA, Enghavevej 40, Copenhagen V","Fri 9 March 2018, 9 pm.",(Entrance fee: 275 DKK)

Sherzandum + support TBA.,"Bartof Station, Solbjergvej 3, Frederiksberg","Fri 9 March 2018, 9 pm.",(Entrance fee)

Koncert med Jonas Breum og BrÃ¸nshÃ¸j kirkes pigekor.,"BrÃ¸nshÃ¸j Kirke, BrÃ¸nshÃ¸j Kirkevej 8, BrÃ¸nshÃ¸j","Sat 10 March 2018, 3 pm  - 4 pm.", 

Blancmange Live + Artist Talk + Afterparty.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Sat 10 March 2018, 7.30 pm.",(Entrance fee: Standard billet 225 DKK. + gebyr / VIP 295 DKK. + gebyr)

"Anne Dorte Michelsen, Solo.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Sat 10 March 2018, 8 pm.",(Entrance fee: 200 DKK)

Jessie Ware.,"VEGA, Enghavevej 40, Copenhagen V","Sat 10 March 2018, 8 pm.", 

The Chainsmokers: Euro Memories... Do Not Open Tour.,"Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S","Sat 10 March 2018, 8 pm.",(Entrance fee)

Dream Wife (UK).,"Ideal Bar, Enghavevej 40, Copenhagen V","Sat 10 March 2018, 8 pm.","(Entrance fee: 105,00 DKK)"

Lis SÃ¸rensen.,"Galaksen, Bymidten 48, VÃ¦rlÃ¸se","Sat 10 March 2018, 8 pm.",(Entrance fee: 350 - 500 DKK)

Carl Emil Petersen (SOLO).,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Sat 10 March 2018, 8 pm.",(Entrance fee: 170 DKK + evt. gebyr)


Pligten Kalder.,"Kulturstationen VanlÃ¸se, Frode Jakobsens Plads 4 / Jernbane AllÃ© 38, VanlÃ¸se","Sat 10 March 2018, 8.30 pm.",(Entrance fee: 180 DKK inkl. gebyr)

Seth Walker (us).,"Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K","Sat 10 March 2018, 10 pm.",(Entrance fee: 100 DKK)

Erik Grip.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Sun 11 March 2018, 2 pm.",(Entrance fee)

DR PigeKorets forÃ¥r.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Sun 11 March 2018, 7.30 pm.", 

SÃ¸ren Huss.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 11 March 2018, 8 pm.",(Entrance fee: 245 - 345 DKK)

First Aid Kit.,"VEGA, Enghavevej 40, Copenhagen V","Sun 11 March 2018, 8 pm.", 

Alvvays (CA).,"VEGA, Enghavevej 40, Copenhagen V","Sun 11 March 2018, 8 pm.",(Entrance fee)

Big Daddy Wilson (US).,"Kulturhuset PilegÃ¥rden, BrÃ¸nshÃ¸jvej 17, BrÃ¸nshÃ¸j","Sun 11 March 2018, 8 pm  - 10 pm.",(Entrance fee: 140 DKK.)

Heaven Shall Burn.,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Mon 12 March 2018, 7 pm.","(Entrance fee: 300,00 DKK)"

Cophenhagen Saxophone Quartet.,"Taastrup Musikforening, Taastrup Kulturcenter, Poppel AllÃ© 12, Taastrup","Mon 12 March 2018, 7.30 pm.", 

Enghave Barok. 6. koncert i Lyngby TaarbÃ¦k Musikforening.,"Christianskirken, Christian X's AllÃ© 122, Kongens Lyngby","Mon 12 March 2018, 7.30 pm.",(Entrance fee: 130 DKK.)

"KÃ¸n, magt og kategorier i skandinaviske middelalderlige ballader v. Ingrid Ã…kesson.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Mon 12 March 2018, 7.30 pm.",(Free admission)

DR PigeKorets forÃ¥r.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Tues 13 March 2018, 7.30 pm.",(Entrance fee: 100 - 180 DKK)

Strube &amp; Repete.,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Wed 14 March 2018, 7.30 pm.",(Entrance fee: 125 DKK)

Burhan G - Venteliste.,"VEGA, Enghavevej 40, Copenhagen V","Wed 14 March 2018, 8 pm.","(Entrance fee: 300,00 DKK)"

Carnifex + support.,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Wed 14 March 2018, 8 pm.","(Entrance fee: 250,00 DKK)"

Veto - FÃ¥ Billetter.,"VEGA, Enghavevej 40, Copenhagen V","Thur 15 March 2018, 8 pm.","(Entrance fee: 200,00 DKK)"

Skar's Blues Band spiller i Farum Jazzklub.,"Farum Jazzklub, EllegÃ¥rden, Stavnsholtvej 168, Farum","Thur 15 March 2018, 8 pm.", 

Dansk Selskab For Russisk Musik.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Thur 15 March 2018, 8.00 pm  - 10.00 pm.",(Entrance fee: 100 DKK/ 70 DKK ved dÃ¸ren)

Django Django (UK).,"VEGA, Enghavevej 40, Copenhagen V","Thur 15 March 2018, 9 pm.","(Entrance fee: 200,00 DKK)"


GÃ¶teborg Symfonikerne.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 16 March 2018, 7.30 pm.",(Entrance fee: 60 - 407 DKK)

Martin Brygmann med Band &amp; Danmarks Underholdningsorkester.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Fri 16 March 2018, 8 pm.", 

Steffen Jungersen - Rock &amp; RÃ¸verhistorier.,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Fri 16 March 2018, 8 pm.",(Entrance fee: 100 DKK)

Ramslag Folkets Hus Spillefolk.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Fri 16 March 2018, 8 pm.",(Entrance fee: Kr 30)

Sangaften med fremtidens stjerner pÃ¥ MGK.,"MusikhÃ¸jskolen, Smallegade 12, Frederiksberg","Fri 16 March 2018, 8 pm.",(Free admission)

Souvenirs.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Fri 16 March 2018, 8 pm.","(Entrance fee: 130,00 DKK)"

Blondage.,"Hotel Cecil, Niels Hemmingsens Gade 10, Copenhagen K","Fri 16 March 2018, 8 pm.","(Entrance fee: 175,00 DKK)"

Sonja Hald.,"Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV","Fri 16 March 2018, 9 pm.",(Entrance fee: Forsalg: 70 - 90 DKK // I dÃ¸ren: 90 - 110 DKK)

SÃ¸s Fenger.,"Kongekilden, Enghavevej 8, Dyrehaven, Klampenborg","Sat 17 March 2018, 7 pm.","(Entrance fee: 620,00 dkk - 820,00 dkk)"

Tonight Alive.,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Sat 17 March 2018, 8 pm.","(Entrance fee: 245,00 DKK)"

Blues Beatles (BR).,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Sat 17 March 2018, 8 pm.",(Entrance fee: 175 DKK)

Queen Machine.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Sat 17 March 2018, 8 pm.","(Entrance fee: 270,00 DKK)"

Det Ã…bne Hus spiller op til folkedans pÃ¥ Stades Krog 9.,"Lyngby SognegÃ¥rd, Stades Krog 9, Kongens Lyngby","Sat 17 March 2018, 8 pm.",(Entrance fee: 40 DKK)

Dobbeltkoncert: Niels Skousen og Kristina Holgersen.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Sat 17 March 2018, 8 pm.",(Entrance fee: 160 DKK. + Gebyr / 180 DKK. i dÃ¸ren)

Andreas Bo med band - Akustisk koncert.,"Herlev Teaterbio, Herlev Bygade 30, Herlev","Sat 17 March 2018, 8 pm.",(Entrance fee: 175 DKK)

Sort Sol.,"Forum Copenhagen, Julius Thomsens Plads 1, Frederiksberg C","Sat 17 March 2018, 8 pm.","(Entrance fee: 455,00 DKK)"

Frank Carter &amp; The Rattlesnakes (UK).,"VEGA, Enghavevej 40, Copenhagen V","Sat 17 March 2018, 9 pm.","(Entrance fee: 200,00 DKK)"

D'Angelo.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 17 March 2018, 9 pm.",(Entrance fee: 495 - 695 DKK)

Tom Misch (live) (uk) - Flyttet.,"VEGA, Enghavevej 40, Copenhagen V","Sat 17 March 2018, 9 pm.","(Entrance fee: 175,00 DKK)"

1/2 12 Koncerter.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Sun 18 March 2018, 11.30 am.",(Entrance fee: 90 DKK. medlemmer af Venneforening 50 DKK)


Jazz Menu - ForÃ¥r 2018.,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Sun 18 March 2018, 1 pm.",(Entrance fee: 110 DKK)

Musikken fra Cirkus Summarum.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 18 March 2018, 1 pm  & 3 pm.",(Entrance fee: 140 - 175 DKK)

Lakha Khan.,"Galaksen, Bymidten 48, VÃ¦rlÃ¸se","Sun 18 March 2018, 3 pm.",(Entrance fee: 165 DKK)

Koncert: Flamenco Requiem med Vokalgruppen Kolorit.,"Lundehus Kirke, StrÃ¸damvej 1, Copenhagen Ã˜","Sun 18 March 2018, 3 pm  - 4.30 pm.", 

Passionskoncert.,"Garnisonskirken, Sankt AnnÃ¦ Plads 4, Copenhagen K","Sun 18 March 2018, 4 pm.",(Entrance fee: 85 - 150 DKK)

Bach og Bibelen.,"Mariendals Kirke, Nitivej 17, Frederiksberg","Sun 18 March 2018, 4 pm  - 5 pm.", 

PalÃ¦ Bar Jazz.,"PalÃ¦ Bar, Ny Adelgade 5, Copenhagen K","Sun 18 March 2018, 5 pm  - 8 pm.",(Free admission)

Ace Tee & Kwam.e (DE).,"Ideal Bar, Enghavevej 40, Copenhagen V","Sun 18 March 2018, 8 pm.","(Entrance fee: 140,00 DKK)"

Apocalyptica.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 18 March 2018, 8 pm.",(Entrance fee: 345 - 395 DKK)

Jamie Lawson.,"VEGA, Enghavevej 40, Copenhagen V","Sun 18 March 2018, 8 pm.",(Entrance fee: 230 DKK)

Michael Mcdonald - Udsolgt.,"VEGA, Enghavevej 40, Copenhagen V","Sun 18 March 2018, 8 pm.","(Entrance fee: 450,00 DKK)"

